Date Tim	"e	Temperatu"	e  (*C)
9/7/2008	17:46	6.44
9/7/2008	17:46	6.44
9/7/2008	17:46	6.44
9/7/2008	17:46	6.44
9/7/2008	17:46	6.44
9/7/2008	17:47	6.44
9/7/2008	17:47	6.44
9/7/2008	17:47	6.44
9/7/2008	17:47	6.44
9/7/2008	17:47	6.44
9/7/2008	17:47	6.44
9/7/2008	17:48	6.44
9/7/2008	17:48	6.44
9/7/2008	17:48	6.44
9/7/2008	17:48	6.44
9/7/2008	17:48	6.44
9/7/2008	17:48	6.44
9/7/2008	17:49	6.44
9/7/2008	17:49	6.44
9/7/2008	17:49	6.44
9/7/2008	17:49	6.44
9/7/2008	17:49	6.44
9/7/2008	17:49	6.44
9/7/2008	17:50	6.44
9/7/2008	17:50	6.44
9/7/2008	17:50	6.44
9/7/2008	17:50	6.44
9/7/2008	17:50	6.44
9/7/2008	17:50	6.44
9/7/2008	17:51	6.44
9/7/2008	17:51	6.44
9/7/2008	17:51	6.44
9/7/2008	17:51	6.44
9/7/2008	17:51	6.44
9/7/2008	17:51	6.44
9/7/2008	17:52	6.44
9/7/2008	17:52	6.44
9/7/2008	17:52	6.44
9/7/2008	17:52	6.44
9/7/2008	17:52	6.44
9/7/2008	17:52	6.44
9/7/2008	17:53	6.44
9/7/2008	17:53	6.44
9/7/2008	17:53	6.44
9/7/2008	17:53	6.44
9/7/2008	17:53	6.44
9/7/2008	17:53	6.44
9/7/2008	17:54	6.44
9/7/2008	17:54	6.44
9/7/2008	17:54	6.44
9/7/2008	17:54	6.44
9/7/2008	17:54	6.44
9/7/2008	17:54	6.44
9/7/2008	17:55	6.44
9/7/2008	17:55	6.44
9/7/2008	17:55	6.44
9/7/2008	17:55	6.44
9/7/2008	17:55	6.44
9/7/2008	17:55	6.44
9/7/2008	17:56	6.44
9/7/2008	17:56	6.44
9/7/2008	17:56	6.44
9/7/2008	17:56	6.44
9/7/2008	17:56	6.44
9/7/2008	17:56	6.44
9/7/2008	17:57	6.44
9/7/2008	17:57	6.44
9/7/2008	17:57	6.44
9/7/2008	17:57	6.44
9/7/2008	17:57	6.44
9/7/2008	17:57	6.44
9/7/2008	17:58	6.44
9/7/2008	17:58	6.44
9/7/2008	17:58	6.44
9/7/2008	17:58	6.44
9/7/2008	17:58	6.44
9/7/2008	17:58	6.44
9/7/2008	17:59	6.44
9/7/2008	17:59	6.44
9/7/2008	17:59	6.44
9/7/2008	17:59	6.44
9/7/2008	17:59	6.44
9/7/2008	17:59	6.44
9/7/2008	18:00	6.44
9/7/2008	18:00	6.44
9/7/2008	18:00	6.44
9/7/2008	18:00	6.44
9/7/2008	18:00	6.44
9/7/2008	18:00	6.44
9/7/2008	18:01	6.44
9/7/2008	18:01	6.44
9/7/2008	18:01	6.44
9/7/2008	18:01	6.44
9/7/2008	18:01	6.44
9/7/2008	18:01	6.44
9/7/2008	18:02	6.44
9/7/2008	18:02	6.44
9/7/2008	18:02	6.44
9/7/2008	18:02	6.44
9/7/2008	18:02	6.44
9/7/2008	18:02	6.44
9/7/2008	18:03	6.44
9/7/2008	18:03	6.44
9/7/2008	18:03	6.44
9/7/2008	18:03	6.44
9/7/2008	18:03	6.44
9/7/2008	18:03	6.44
9/7/2008	18:04	6.44
9/7/2008	18:04	6.44
9/7/2008	18:04	6.44
9/7/2008	18:04	6.44
9/7/2008	18:04	6.44
9/7/2008	18:04	6.44
9/7/2008	18:05	6.44
9/7/2008	18:05	6.44
9/7/2008	18:05	6.44
9/7/2008	18:05	6.44
9/7/2008	18:05	6.44
9/7/2008	18:05	6.44
9/7/2008	18:06	6.44
9/7/2008	18:06	6.44
9/7/2008	18:06	6.44
9/7/2008	18:06	6.44
9/7/2008	18:06	6.44
9/7/2008	18:06	6.44
9/7/2008	18:07	6.44
9/7/2008	18:07	6.44
9/7/2008	18:07	6.44
9/7/2008	18:07	6.44
9/7/2008	18:07	6.44
9/7/2008	18:07	6.44
9/7/2008	18:08	6.44
9/7/2008	18:08	6.44
