"","Year","Survey","Leg","Site","Sex","CW","Recruit.Status","Shell.Condition","Egg.Development","Leg.Condition","Bitter","Egg.Percent","Blackmat","Latitude","Longitude","Jul.Day","Depth","Temp","temp_avg"
"107",2009,"RKC",1,"Barlow_Cove","2",105,"Mature_Female","3","Uneyed","0","0",100,"0",58.35131667,-134.8712167,156,74,4.59882352941176,4.5452062067474
"108",2009,"RKC",1,"Barlow_Cove","2",91,"Mature_Female","4","Uneyed","1","0",80,"0",58.35131667,-134.8712167,156,74,4.59882352941176,4.5452062067474
"110",2009,"RKC",1,"Barlow_Cove","2",88,"Mature_Female","3","Uneyed","0","0",70,"0",58.35131667,-134.8712167,156,74,4.59882352941176,4.5452062067474
"111",2009,"RKC",1,"Barlow_Cove","2",93,"Mature_Female","4","Uneyed","0","0",100,"0",58.35131667,-134.8712167,156,74,4.59882352941176,4.5452062067474
"112",2009,"RKC",1,"Barlow_Cove","2",89,"Mature_Female","3","Uneyed","0","0",70,"0",58.35131667,-134.8712167,156,74,4.59882352941176,4.5452062067474
"113",2009,"RKC",1,"Barlow_Cove","2",99,"Mature_Female","3","Uneyed","0","0",80,"0",58.35131667,-134.8712167,156,74,4.59882352941176,4.5452062067474
"114",2009,"RKC",1,"Barlow_Cove","2",81,"Mature_Female","3","Uneyed","1","0",90,"0",58.35131667,-134.8712167,156,74,4.59882352941176,4.5452062067474
"115",2009,"RKC",1,"Barlow_Cove","2",100,"Mature_Female","3","Uneyed","0","0",70,"0",58.35131667,-134.8712167,156,74,4.59882352941176,4.5452062067474
"116",2009,"RKC",1,"Barlow_Cove","2",88,"Mature_Female","3","Uneyed","0","0",80,"0",58.3648,-134.8998,156,87,4.73,4.5452062067474
"117",2009,"RKC",1,"Barlow_Cove","2",94,"Mature_Female","3","Uneyed","1","0",60,"0",58.3648,-134.8998,156,87,4.73,4.5452062067474
"118",2009,"RKC",1,"Barlow_Cove","2",94,"Mature_Female","3","Uneyed","1","0",80,"0",58.3648,-134.8998,156,87,4.73,4.5452062067474
"119",2009,"RKC",1,"Barlow_Cove","2",89,"Mature_Female","3","Uneyed","1","0",60,"0",58.3648,-134.8998,156,87,4.73,4.5452062067474
"120",2009,"RKC",1,"Barlow_Cove","2",88,"Mature_Female","3","Uneyed","0","0",80,"0",58.3648,-134.8998,156,87,4.73,4.5452062067474
"121",2009,"RKC",1,"Barlow_Cove","2",92,"Mature_Female","3","Uneyed","0","0",70,"0",58.3648,-134.8998,156,87,4.73,4.5452062067474
"122",2009,"RKC",1,"Barlow_Cove","2",93,"Mature_Female","3","Uneyed","0","0",80,"0",58.3648,-134.8998,156,87,4.73,4.5452062067474
"123",2009,"RKC",1,"Barlow_Cove","2",84,"Mature_Female","3","Uneyed","0","0",90,"0",58.3648,-134.8998,156,87,4.73,4.5452062067474
"127",2009,"RKC",1,"Barlow_Cove","2",88,"Mature_Female","3","Uneyed","0","0",70,"0",58.36471667,-134.8953333,156,86,4.57111111111111,4.5452062067474
"128",2009,"RKC",1,"Barlow_Cove","2",88,"Mature_Female","3","Uneyed","0","0",90,"0",58.38556667,-134.9183167,156,54,4.52,4.5452062067474
"129",2009,"RKC",1,"Juneau","2",111,"Mature_Female","3","Uneyed","0","0",50,"0",58.40046667,-134.7911167,157,62,4.43,4.32466658064358
"130",2009,"RKC",1,"Juneau","2",102,"Mature_Female","3","Uneyed","0","0",70,"0",58.40133333,-134.7896667,157,64,4.26,4.32466658064358
"131",2009,"RKC",1,"Juneau","2",100,"Mature_Female","3","Uneyed","0","0",70,"0",58.40133333,-134.7896667,157,64,4.26,4.32466658064358
"132",2009,"RKC",1,"Juneau","2",103,"Mature_Female","3","Uneyed","0","0",80,"0",58.40133333,-134.7896667,157,64,4.26,4.32466658064358
"133",2009,"RKC",1,"Juneau","2",92,"Mature_Female","4","Uneyed","1","0",100,"0",58.40133333,-134.7896667,157,64,4.26,4.32466658064358
"134",2009,"RKC",1,"Juneau","2",101,"Mature_Female","3","Uneyed","0","0",60,"0",58.40133333,-134.7896667,157,64,4.26,4.32466658064358
"135",2009,"RKC",1,"Juneau","2",99,"Mature_Female","3","Uneyed","1","0",50,"0",58.40133333,-134.7896667,157,64,4.26,4.32466658064358
"136",2009,"RKC",1,"Juneau","2",104,"Mature_Female","3","Uneyed","0","0",70,"0",58.40133333,-134.7896667,157,64,4.26,4.32466658064358
"137",2009,"RKC",1,"Juneau","2",92,"Mature_Female","3","Uneyed","0","0",60,"0",58.40133333,-134.7896667,157,64,4.26,4.32466658064358
"138",2009,"RKC",1,"Juneau","2",100,"Mature_Female","3","Uneyed","0","1",60,"0",58.40133333,-134.7896667,157,64,4.26,4.32466658064358
"139",2009,"RKC",1,"Juneau","2",95,"Mature_Female","3","Uneyed","0","1",60,"0",58.40133333,-134.7896667,157,64,4.26,4.32466658064358
"140",2009,"RKC",1,"Juneau","2",93,"Mature_Female","3","Uneyed","1","1",60,"0",58.40133333,-134.7896667,157,64,4.26,4.32466658064358
"141",2009,"RKC",1,"Juneau","2",105,"Mature_Female","3","Uneyed","0","1",60,"0",58.40133333,-134.7896667,157,64,4.26,4.32466658064358
"142",2009,"RKC",1,"Juneau","2",97,"Mature_Female","3","Uneyed","1","1",50,"0",58.40133333,-134.7896667,157,64,4.26,4.32466658064358
"143",2009,"RKC",1,"Juneau","2",93,"Mature_Female","3","Uneyed","0","1",70,"0",58.40133333,-134.7896667,157,64,4.26,4.32466658064358
"144",2009,"RKC",1,"Juneau","2",92,"Mature_Female","3","Uneyed","1","0",70,"0",58.40133333,-134.7896667,157,64,4.26,4.32466658064358
"145",2009,"RKC",1,"Juneau","2",102,"Mature_Female","3","Uneyed","0","1",30,"0",58.40133333,-134.7896667,157,64,4.26,4.32466658064358
"146",2009,"RKC",1,"Juneau","2",100,"Mature_Female","3","Uneyed","0","0",80,"0",58.40133333,-134.7896667,157,64,4.26,4.32466658064358
"147",2009,"RKC",1,"Juneau","2",89,"Mature_Female","4","Uneyed","1","0",100,"0",58.40133333,-134.7896667,157,64,4.26,4.32466658064358
"148",2009,"RKC",1,"Juneau","2",93,"Mature_Female","4","Uneyed","0","0",90,"0",58.40133333,-134.7896667,157,64,4.26,4.32466658064358
"149",2009,"RKC",1,"Juneau","2",99,"Mature_Female","3","Uneyed","0","1",30,"0",58.40133333,-134.7896667,157,64,4.26,4.32466658064358
